date,ceiling_amount_million_pkr,ceiling_institutions,floor_amount_million_pkr,floor_institutions
2025-12-24,0,0,28000,2
2025-12-26,140000,2,15000,1
2025-12-29,269600,5,0,0
2025-12-30,270500,3,35000,2
2025-12-31,1726800,11,53500,4
2026-01-01,0,0,0,0
2026-01-02,59500,1,40000,1
2026-01-06,7500,1,25000,1
2026-01-08,405000,1,12000,1
2026-01-09,3000,1,28000,3
2026-01-12,0,0,73000,2
2026-01-13,0,0,132000,3
2026-01-14,0,0,127000,3
2026-01-15,60000,8,0,0
2026-01-21,0,0,13000,1
2026-01-22,100000,1,100000,1
2026-01-23,0,0,110000,1
2026-01-26,0,0,85000,2
2026-01-27,0,0,84000,3
2026-01-28,0,0,236000,7
2026-01-29,0,0,258300,7
2026-01-30,101200,3,47600,2
2026-02-01,0,0,0,0
2026-02-02,86000,3,28000,1
2026-02-03,65000,2,0,0
2026-02-04,101500,1,10000,1
2026-02-06,0,0,51000,3
2026-02-09,5000,1,0,0
2026-02-10,12200,1,20000,1
2026-02-12,84000,1,28500,2
2026-02-13,155500,1,69000,2
2026-02-16,88100,1,37000,1
2026-02-17,121500,1,46000,1
2026-02-18,155000,1,89000,1
2026-02-20,154500,2,65000,1
2026-02-23,117100,2,20000,1
2026-02-24,14600,1,15000,1
2026-02-25,85200,1,0,0
2026-02-26,1000,1,30000,2
2026-02-27,130300,2,28800,2
2026-03-01,0,0,0,0
2026-03-02,137100,1,0,0
2026-03-03,163200,1,0,0
2026-03-04,160300,1,0,0
2026-03-05,130000,1,20000,1
2026-03-06,21700,3,2100,2
2026-03-09,88300,4,0,0
2026-03-10,97800,4,10000,1
2026-03-11,15000,1,0,0
2026-03-12,225900,8,1150,1
2026-03-13,0,0,98200,3
2026-03-16,0,0,95000,1
2026-03-17,0,0,21000,2
2026-03-18,0,0,77000,3
2026-03-19,2000,1,120200,5
2026-03-24,0,0,232100,4
2026-03-25,0,0,205000,4
2026-03-26,0,0,223200,6
2026-03-27,115400,3,35000,1
2026-03-30,130500,1,0,0
2026-03-31,662650,7,71600,3
2026-04-01,0,0,0,0
2026-04-01,0,0,29000,2
2026-04-02,390000,1,82000,2
2026-04-06,28800,1,20000,1
2026-04-07,0,0,43000,1
2026-04-08,0,0,30000,1
2026-04-09,0,0,150250,12
2026-04-10,10000,1,0,0
2026-04-16,530000,1,109500,1
2026-04-17,228100,2,11000,1
2026-04-20,218000,1,0,0
2026-04-21,0,0,46500,2
2026-04-22,0,0,91000,5
2026-04-23,0,0,214850,15
2026-04-24,265200,1,15000,1
2026-04-27,225000,2,0,0
2026-04-28,89500,1,23000,1
2026-04-29,41400,1,71000,2
2026-04-30,204500,1,83500,3
2026-05-01,0,0,0,0
2026-05-04,376500,7,0,0
2026-05-05,360000,3,0,0
2026-05-06,240000,1,72900,2
2026-05-07,196000,1,63400,5
2026-05-08,5300,1,0,0
2026-05-11,34600,1,0,0
2026-05-12,1000,1,0,0
2026-05-14,261000,1,0,0
2026-05-15,0,0,12000,1
2026-05-19,10300,2,0,0
2026-05-20,35000,2,0,0
2026-05-21,34500,4,0,0
2026-05-25,0,0,37250,2
2026-05-29,258400,7,39200,1
2026-06-01,0,0,0,0
2026-06-01,26000,2,0,0
2026-06-03,0,0,53000,1
2026-06-04,0,0,38500,2
2026-06-05,97500,1,0,0
2026-06-08,145500,2,0,0
2026-06-09,169900,1,0,0
2026-06-10,24200,1,0,0
2026-06-11,1148000,1,0,0
2026-06-12,135400,2,12000,1
2026-06-15,29500,2,0,0
2026-06-16,17900,1,0,0
2026-06-17,0,0,19000,1
2026-06-18,765500,3,700,1
2026-06-19,20000,1,0,0
2026-06-23,0,0,99000,1
2026-06-24,0,0,15300,2
2026-06-29,200000,1,422500,7
2026-06-30,1933000,8,108500,2
2026-07-02,0,0,65200,8
2026-07-03,214600,1,0,0
